lkneex,lkneey,rkneex,rkneey,lwristx,lwristy,lwristz,rwristx,rwristy,rwristz,lhipx,lhipy,lhipz,rhipx,rhipy,rhipz,lshoulderx,lshouldery,rshoulderx,rshouldery
RAnkleAngles,,LWristAngles,,RNeckAngles,,,LHeadAngles,,,RKneeAngles,,,LElbowAngles,,,RWristAngles,,LSpineAngles,,
X,Y,X,Y,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,X,Y,
14.803569,-2.260594,4.38464,-28.285891,-8.701947,-0.952538,12.104211,0.523179,-14.225161,5.670529,149.696457,-2.342555,-0.265601,71.208206,0.0,0.0,65.323402,-12.209142,3.996626,17.879478,
14.741927,-2.245136,4.371722,-28.289682,-8.657969,-0.793963,12.278749,0.457238,-14.353774,5.844927,149.631012,-2.38374,-0.243503,71.535599,0.0,0.0,65.349251,-12.203624,4.132387,18.032833,
14.675437,-2.227051,4.347347,-28.28467,-8.616989,-0.637231,12.45321,0.387611,-14.481264,6.023135,149.56131,-2.425771,-0.221103,71.861549,0.0,0.0,65.37603,-12.199733,4.26649,18.180065,
14.60429,-2.20636,4.311113,-28.27051,-8.579172,-0.482536,12.627616,0.314169,-14.607537,6.205184,149.487,-2.468632,-0.198375,72.185814,0.0,0.0,65.403732,-12.197556,4.398812,18.320877,
14.528777,-2.183088,4.262303,-28.246525,-8.544593,-0.329993,12.802026,0.236709,-14.732425,6.39119,149.407745,-2.512264,-0.175273,72.508224,0.0,0.0,65.432281,-12.19707,4.529168,18.454981,
14.449225,-2.157264,4.20068,-28.212276,-8.513373,-0.179799,12.976492,0.155073,-14.855841,6.581191,149.323181,-2.55665,-0.151802,72.828629,0.0,0.0,65.461662,-12.198348,4.657412,18.582104,
14.365933,-2.128941,4.125748,-28.167337,-8.485614,-0.03201,13.151009,0.06912,-14.977577,6.775225,149.232925,-2.601773,-0.127946,73.146843,0.0,0.0,65.491768,-12.201405,4.783374,18.701988,
14.279263,-2.098172,4.037101,-28.111168,-8.461404,0.113141,13.325656,-0.021324,-15.097607,6.973384,149.136581,-2.647656,-0.103737,73.462753,0.0,0.0,65.522575,-12.206246,4.906902,18.814369,
14.189485,-2.065048,3.93451,-28.043451,-8.440841,0.255584,13.500449,-0.116393,-15.215779,7.175689,149.033752,-2.69431,-0.079227,73.776215,0.0,0.0,65.554008,-12.212873,5.027833,18.919033,
14.097005,-2.029639,3.817811,-27.96382,-8.423967,0.39517,13.675447,-0.216265,-15.331945,7.382203,148.924026,-2.741792,-0.054473,74.087082,0.0,0.0,65.586006,-12.221327,5.146012,19.01572,
14.002159,-1.992043,3.686727,-27.871828,-8.410875,0.531844,13.850651,-0.321046,-15.445975,7.592947,148.806961,-2.790147,-0.029552,74.395317,0.0,0.0,65.618553,-12.231579,5.261277,19.104218,
13.905292,-1.952365,3.541202,-27.7672,-8.401617,0.665473,14.026153,-0.430883,-15.557769,7.807985,148.682144,-2.839493,-0.004585,74.700783,0.0,0.0,65.651512,-12.243623,5.373494,19.184324,
13.806726,-1.910722,3.381228,-27.649704,-8.39623,0.796021,14.201924,-0.545901,-15.667161,8.027335,148.549118,-2.889929,0.020317,75.003426,0.0,0.0,65.684875,-12.257486,5.482485,19.255863,
13.706781,-1.867236,3.206801,-27.518957,-8.394755,0.923353,14.378008,-0.666219,-15.774084,8.251019,148.407486,-2.94161,0.044988,75.303169,0.0,0.0,65.718544,-12.273136,5.588103,19.318645,
13.605811,-1.822036,3.018135,-27.374887,-8.39722,1.047408,14.554441,-0.791942,-15.878402,8.479073,148.256744,-2.994678,0.069277,75.59996,0.0,0.0,65.752464,-12.290527,5.690194,19.372473,
13.504054,-1.77526,2.815397,-27.217279,-8.403618,1.168203,14.731222,-0.923182,-15.979931,8.711492,148.096481,-3.049352,0.09301,75.89373,0.0,0.0,65.786499,-12.309667,5.788603,19.417225,
13.401793,-1.727055,2.598878,-27.046085,-8.41397,1.285625,14.908389,-1.060024,-16.078638,8.948328,147.926285,-3.105815,0.115988,76.184464,0.0,0.0,65.820648,-12.330494,5.883184,19.452789,
13.299286,-1.677562,2.368844,-26.861099,-8.428254,1.399701,15.085903,-1.202545,-16.17432,9.189537,147.745682,-3.164333,0.138004,76.472145,0.0,0.0,65.854744,-12.352986,5.973796,19.478998,
13.196766,-1.626921,2.125875,-26.662384,-8.446452,1.510328,15.263832,-1.350825,-16.266947,9.435159,147.55426,-3.225158,0.158877,76.756783,0.0,0.0,65.888741,-12.377097,6.06028,19.495752,
13.094414,-1.575301,1.87034,-26.449963,-8.468504,1.617592,15.442123,-1.504935,-16.356319,9.68517,147.351639,-3.288546,0.178376,77.038361,0.0,0.0,65.922546,-12.402779,6.142485,19.502985,
12.992333,-1.522846,1.602815,-26.223812,-8.494404,1.721445,15.620794,-1.664889,-16.442348,9.939548,147.13739,-3.35486,0.196279,77.316872,0.0,0.0,65.956009,-12.429949,6.22029,19.500584,
