lkneex,lkneey,rkneex,rkneey,lwristx,lwristy,lwristz,rwristx,rwristy,rwristz,lhipx,lhipy,lhipz,rhipx,rhipy,rhipz,lshoulderx,lshouldery,rshoulderx,rshouldery
-1.307487,-26.825964,-16.463528,-0.452868,8.780275,-2.320567,-3.474623,16.250193,-3.896827,-5.408172,56.020771,0.0,0.0,-126.615654,33.494991,10.308702,-8.707522,6.465281,7.699841,2.757435,
-1.350857,-26.808739,-16.504419,-0.394478,8.751413,-2.30968,-3.513844,16.372847,-3.923612,-5.344311,55.918766,0.0,0.0,-126.614586,33.501644,10.303228,-8.77079,6.545269,7.766457,2.818374,
-1.401826,-26.789751,-16.546108,-0.334752,8.721628,-2.298358,-3.554793,16.495546,-3.950202,-5.280337,55.817291,0.0,0.0,-126.611938,33.507889,10.300521,-8.832939,6.626228,7.834614,2.880811,
-1.461093,-26.767815,-16.588552,-0.273689,8.690961,-2.286548,-3.597505,16.618042,-3.976577,-5.216273,55.716934,0.0,0.0,-126.607811,33.513706,10.300654,-8.89381,6.708107,7.904229,2.944712,
-1.529678,-26.741308,-16.631651,-0.211351,8.659394,-2.274198,-3.64197,16.740089,-4.002689,-5.152133,55.618393,0.0,0.0,-126.602257,33.519096,10.303596,-8.953262,6.790743,7.975203,3.009963,
-1.608216,-26.709053,-16.675358,-0.147829,8.62699,-2.261335,-3.68821,16.861414,-4.028515,-5.087932,55.522289,0.0,0.0,-126.595467,33.524033,10.309278,-9.011141,6.874058,8.047427,3.076507,
-1.697609,-26.669428,-16.719564,-0.083108,8.59376,-2.247845,-3.73621,16.981764,-4.054039,-5.023676,55.429371,0.0,0.0,-126.58757,33.528484,10.317705,-9.067334,6.957941,8.120766,3.144244,
-1.798647,-26.620989,-16.764193,-0.017308,8.559757,-2.23372,-3.785996,17.100853,-4.079218,-4.959396,55.340351,0.0,0.0,-126.578758,33.532429,10.328773,-9.121705,7.042232,8.195078,3.213057,
-1.912009,-26.562281,-16.809111,0.049456,8.525009,-2.218947,-3.837569,17.218393,-4.104033,-4.895096,55.256001,0.0,0.0,-126.569206,33.535831,10.342433,-9.17412,7.126792,8.270209,3.282814,
-2.0386,-26.491711,-16.854225,0.11714,8.489584,-2.20343,-3.890934,17.334095,-4.128458,-4.830801,55.17709,0.0,0.0,-126.559212,33.538662,10.358505,-9.22447,7.211469,8.34598,3.353381,
